Event,Full Name,Team Name,points,Division,Weight
TX Nationals,Holly Myers,Dead Shot Wrestling Club,30,G1,60
Heart of Texas,Holly myers,Dead Shot Wrestling Club,30,G1,60
TX Nationals,Kaleia Vade Rendon,Takedown City Wrestling Club,5,G1,50
Heart of Texas,Kaleia Vade Rendon,Takedown City Wrestling Club,10,G1,50
Lonestar Nationals,Valeria Gutierrez,Gracie Barra Westchase Wrestling Club,30,G1,42
TX Nationals,Valeria Gutierrez,Gracie Barra Westchase Wrestling Club,30,G1,42
Heart of Texas,Peyton Badgley,Patriot Wrestling Club,0,G1,60
Lonestar Nationals,Gwenyth Windom,Silverback Wrestling Fort Worth,0,G1,60
TX Nationals,Kiraiah Kendrick,Powerhouse Wrestling,0,G1,55
Heart of Texas,Kiraiah Kendrick,Powerhouse Wrestling,5,G1,55
Lonestar Nationals,Lux Rodriguez,Lubbock-Cooper High School Wrestling,0,G1,50
Panhandle,Lux Rodriguez,Lubbock-Cooper High School Wrestling,0,G1,50
TX Nationals,Lux Rodriguez,Lubbock-Cooper High School Wrestling,0,G1,50
Lonestar Nationals,Annahi Galvan,Lubbock-Cooper High School Wrestling,5,G1,60
Panhandle,Annahi Galvan,Lubbock-Cooper High School Wrestling,10,G1,60
TX Nationals,Annahi Galvan,Lubbock-Cooper High School Wrestling,5,G1,55
TX Nationals,Mariely Machado,Bandas Wrestling Academy,5,G1,46
Heart of Texas,Mariely Machado,Bandas Wrestling Academy,5,G1,46
Lonestar Nationals,Annamari Galvan,Lubbock-Cooper High School Wrestling,0,G1,42
TX Nationals,Annamari Galvan,Lubbock-Cooper High School Wrestling,0,G1,42
Lonestar Nationals,Demi Cabalona,Takedown City Wrestling Club,5,G1,72
Panhandle,Demi Cabalona,Takedown City Wrestling Club,30,G1,72
TX Nationals,Demi Cabalona,Takedown City Wrestling Club,30,G1,65
Heart of Texas,Demi Cabalona,Takedown City Wrestling Club,30,G1,65
TX Nationals,Emma Rose Bustos,Nolf Wrestling Academy,30,G1,50
Heart of Texas,Emma rose Bustos,Nolf Wrestling Academy,0,G1,50
Lonestar Nationals,Vyana Ly,Best Trained Wrestling,30,G1,50
Heart of Texas,Vyana Ly,Best Trained Wrestling,30,G1,50
TX Nationals,Charleigh Mackintosh,Spring Klein Wrestling Club,0,G1,60
Lonestar Nationals,Alexandra Murphy,Takedown City Wrestling Club,30,G1,38
TX Nationals,Alexandra Murphy,Takedown City Wrestling Club,30,G1,38
Edge of Texas,Alexandra Murphy,Takedown City Wrestling Club,30,G1,38
Heart of Texas,Alexandra Murphy,Takedown City Wrestling Club,10,G1,38
Lonestar Nationals,Leia Johnson,Texas Select Wrestling,0,G1,50
Heart of Texas,Sophia Gonzalez,Spring Klein Wrestling Club,5,G1,60
Heart of Texas,Adela Gomez,Tyler Tornadoes Wrestling,0,G1,55
Lonestar Nationals,Melva Marie Cao,Silverback Wrestling Fort Worth,0,G1,42
Lonestar Nationals,Ellie Strohmeier,Dumas Wrestling,5,G1,55
Edge of Texas,Aliana Sarabia,Wesley Club Wrestling,10,G1,38
Lonestar Nationals,Nalah Barry,El Paso Enforcers Wrestling Club,10,G1,60
Edge of Texas,Nalah Barry,El Paso Enforcers Wrestling Club,30,G1,65
TX Nationals,Nalah Barry,El Paso Enforcers Wrestling Club,5,G1,60
Panhandle,Nalah Barry,El Paso Enforcers Wrestling Club,5,G1,55
Lonestar Nationals,Charlie Randolph,Dumas Wrestling,0,G1,46
Panhandle,Rise Rios,Lubbock-Cooper High School Wrestling,5,G1,46
Heart of Texas,Maelynn Torres,Apex Grappling Academy,0,G1,46
TX Nationals,Ariana Quiroz,Wolf Pack Wrestling TX,0,G1,55
Heart of Texas,Ariana Quiroz,The Woodlands Highlander Wrestling Club,30,G1,55
Lonestar Nationals,Bentlee Brittain-winn,Wesley Club Wrestling,10,G1,46
Panhandle,Bentlee Brittain-winn,Wesley Club Wrestling,0,G1,46
TX Nationals,Bentlee Brittain-winn,Wesley Club Wrestling,10,G1,46
Lonestar Nationals,Celeste Ramirez,Texas Wrestling Academy,0,G1,72
Lonestar Nationals,Olivia Sare,Hill Country Wildcats Wrestling Club,0,G1,72
TX Nationals,Olivia Sare,Hill Country Wildcats Wrestling Club,5,G1,65
Heart of Texas,Olivia Sare,Hill Country Wildcats Wrestling Club,10,G1,65
Edge of Texas,Leia Scott,STAY SHARP WRESTLING CLUB,5,G1,35
Lonestar Nationals,Hailey Sanchez,El Paso Texas Wrestling Club (EPTWC),5,G1,42
Edge of Texas,Hailey Sanchez,NXT Level Wrestling Academy,5,G1,46
Edge of Texas,Zoey Cruz,STAY SHARP WRESTLING CLUB,10,G1,199
Lonestar Nationals,Galilea Aragon,X-CLUSIVE Wrestling,5,G1,46
Panhandle,Galilea Aragon,X-CLUSIVE Wrestling,0,G1,46
Edge of Texas,Zamira Baker,El Paso Enforcers Wrestling Club,10,G1,42
Panhandle,Zamira Baker,El Paso Enforcers Wrestling Club,10,G1,42
Edge of Texas,Remi Spence,Cyclones Wrestling Club,5,G1,42
TX Nationals,Bella Chavez,Hornet Wrestling Club,0,G1,46
TX Nationals,Arabella Arroyo,Wolf Pack Wrestling TX,10,G1,65
Edge of Texas,Aviendha Smith,Hill Country Wildcats Wrestling Club,0,G2,92
Panhandle,Aviendha Smith,Hill Country Wildcats Wrestling Club,5,G2,92
Heart of Texas,Aviendha Smith,Hill Country Wildcats Wrestling Club,10,G2,83
TX Nationals,Serenity Esparza,Best Trained Wrestling,10,G2,58
TX Nationals,Kyleigh Danielson,Texas Elite Wrestling Club,10,G2,70
TX Nationals,Charlotte Dice,Brazoria County Wrestling,0,G2,75
TX Nationals,Kamryn Clark,El Paso Supers Wrestling Club,10,G2,199
Edge of Texas,Kamryn Clark,El Paso Supers Wrestling Club,10,G2,110
TX Nationals,Faith Romans,Best Trained Wrestling,0,G2,61
TX Nationals,Rori Ybarbo,Vici Wrestling Club,5,G2,75
Heart of Texas,Rori Ybarbo,Vici Wrestling Club,10,G2,75
Panhandle,Kespen Germany,ReZults Wrestling,0,G2,61
Lonestar Nationals,Tegan Kjeldgaard,Wildcat Wrestling Club,10,G2,55
TX Nationals,Tegan Kjeldgaard,Wildcat Wrestling Club,10,G2,55
Lonestar Nationals,Zaylee Ortiz,El Paso Enforcers Wrestling Club,10,G2,65
Edge of Texas,Zaylee Ortiz,El Paso Enforcers Wrestling Club,30,G2,65
Lonestar Nationals,Grace Windom,Silverback Wrestling Fort Worth,30,G2,199
Panhandle,Grace Windom,Silverback Wrestling Fort Worth,30,G2,199
TX Nationals,Grace Windom,Silverback Wrestling Fort Worth,30,G2,199
Lonestar Nationals,Rylee Russell,Texas Select Wrestling,30,G2,75
TX Nationals,Rylee Russell,Texas Select Wrestling,10,G2,75
Lonestar Nationals,Leilani Smith,NB Elite Wrestling Club,0,G2,65
Heart of Texas,Leilani Smith,NB Elite Wrestling Club,5,G2,70
TX Nationals,Leilani Smith,NB Elite Wrestling Club,10,G2,65
Lonestar Nationals,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,G2,55
Edge of Texas,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,G2,55
Panhandle,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,G2,55
TX Nationals,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,G2,55
Heart of Texas,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,G2,55
TX Nationals,Emma Cerda,Legacy Wrestling Club,0,G2,58
Lonestar Nationals,Maya Mullins,Spartan Mat Club,0,G2,61
TX Nationals,Elizabeth Boyer,ReZults Wrestling,10,G2,61
Lonestar Nationals,Kataleya Rodriguez,512 Outlaw Wrestling,30,G2,65
Panhandle,Kataleya Rodriguez,512 Outlaw Wrestling,5,G2,65
TX Nationals,Kataleya Rodriguez,512 Outlaw Wrestling,30,G2,65
Heart of Texas,Kataleya Rodriguez,512 Outlaw Wrestling,30,G2,65
Lonestar Nationals,Lennox Collins,Mission Wrestling Club,10,G2,52
Edge of Texas,Eriel Sanchez,Sentinels Wrestling Academy,10,G2,92
Lonestar Nationals,Aviana Duran,Tribe Wrestling Club,0,G2,83
TX Nationals,Aviana Duran,Tribe Wrestling Club,0,G2,83
Panhandle,Norah Gann,Team Gann Wrestling,0,G2,52
Lonestar Nationals,Abra Harris,Texas,0,G2,83
Lonestar Nationals,Henly Van Winkle,Amped Wrestling Club,30,G2,83
Lonestar Nationals,Jayda Mayora,Nolf Wrestling Academy,30,G2,49
Panhandle,Jayda Mayora,Nolf Wrestling Academy,0,G2,52
TX Nationals,Jayda Mayora,Nolf Wrestling Academy,5,G2,49
Heart of Texas,Jayda Mayora,Nolf Wrestling Academy,30,G2,49
Lonestar Nationals,Zaylah Castillo,Gracie Barra Westchase Wrestling Club,30,G2,61
TX Nationals,Zaylah Castillo,Gracie Barra Westchase Wrestling Club,30,G2,61
Lonestar Nationals,Maddison Smith,Texas Wrestling Academy,10,G2,83
Panhandle,Maddison Smith,Texas Wrestling Academy,30,G2,83
TX Nationals,Maddison Smith,Texas Wrestling Academy,5,G2,83
Edge of Texas,Raelynn Martinez,Team Fox Wrestling Club,0,G2,58
Lonestar Nationals,Annalise Garcia,Wesley Club Wrestling,5,G2,65
Panhandle,Annalise Garcia,Wesley Club Wrestling,10,G2,61
TX Nationals,Annalise Garcia,Wesley Club Wrestling,0,G2,61
Lonestar Nationals,Mackenzie Tomlinson,Texas Elite Wrestling Club,5,G2,70
Lonestar Nationals,Riley Morin,Fitness Fight Factory Wrestling Club,30,G2,70
TX Nationals,Riley Morin,Fitness Fight Factory Wrestling Club,30,G2,70
Lonestar Nationals,Grace Cogar,Spartan Mat Club,5,G2,52
TX Nationals,Grace Cogar,Spartan Mat Club,5,G2,55
Lonestar Nationals,Leighla Cogar,Spartan Mat Club,10,G2,75
TX Nationals,Leighla Cogar,Spartan Mat Club,0,G2,83
Edge of Texas,Briana Stopyra,El Paso Texas Wrestling Club,10,G2,58
TX Nationals,Briana Stopyra,El Paso Texas Wrestling Club (EPTWC),0,G2,55
TX Nationals,Josephine Reyes,NB Elite Wrestling Club,5,G2,70
Heart of Texas,Josephine Reyes,NB Elite Wrestling Club,30,G2,70
Lonestar Nationals,Adalynn Alemany,El Paso Wildcats Wrestling Club,10,G2,92
Heart of Texas,Adalynn Alemany,El Paso Wildcats Wrestling Club,5,G2,199
Edge of Texas,Adalynn Alemany,El Paso Wildcats Wrestling Club,5,G2,92
Panhandle,Adalynn Alemany,El Paso Wildcats Wrestling Club,0,G2,83
TX Nationals,Reece Lizak,Texas Select Wrestling,30,G2,58
TX Nationals,Xochitl Garcia,Best Trained Wrestling,0,G2,58
Lonestar Nationals,Lilian Alejandra Guerrero,Silverback Wrestling Fort Worth,5,G2,55
Edge of Texas,Adrian Palincsar,NB Elite Wrestling Club,30,G2,75
TX Nationals,Adrian Palincsar,NB Elite Wrestling Club,30,G2,75
Heart of Texas,Adrian Palincsar,NB Elite Wrestling Club,30,G2,75
TX Nationals,Athena Mauga,All American Wrestling Club,10,G2,92
Heart of Texas,Olivia Lundin,3F Wrestling,5,G2,83
Lonestar Nationals,Sophia Contreras,Takedown City Wrestling Club,30,G2,92
Heart of Texas,Sophia Contreras,Takedown City Wrestling Club,30,G2,199
Edge of Texas,Sophia Contreras,Takedown City Wrestling Club,30,G2,92
Panhandle,Sophia Contreras,Takedown City Wrestling Club,10,G2,92
TX Nationals,Sophia Contreras,Takedown City Wrestling Club,30,G2,92
Lonestar Nationals,Greta Mason,Vici Wrestling Club,0,G2,61
TX Nationals,Greta Mason,Vici Wrestling Club,5,G2,58
Heart of Texas,Greta Mason,Vici Wrestling Club,30,G2,58
Heart of Texas,Greta Mason,Vici Wrestling Club,5,G2,58
Lonestar Nationals,Mackenzie Winkle,Best Trained Wrestling,0,G2,75
Panhandle,Mackenzie Winkle,,0,G2,75
TX Nationals,Mackenzie Winkle,Best Trained Wrestling,0,G2,75
Heart of Texas,Mackenzie Winkle,Best Trained Wrestling,5,G2,75
Panhandle,Nevaeh Martinez,Wesley Club Wrestling,5,G2,49
Lonestar Nationals,Adrienne Acosta,El Paso Texas Wrestling Club (EPTWC),5,G2,92
Edge of Texas,Adrienne Acosta,El Paso Texas Wrestling Club,0,G2,92
Panhandle,Adrienne Acosta,El Paso Texas Wrestling Club (EPTWC),0,G2,92
Lonestar Nationals,Skylar Simpson,All American Wrestling Club,10,G2,70
TX Nationals,Skylar Simpson,All American Wrestling Club,0,G2,70
TX Nationals,Sage Westbrook,Texas Elite Wrestling Club,30,G2,49
TX Nationals,Paulina Pina,Dead Shot Wrestling Club,10,G2,83
Lonestar Nationals,Sophia Rodriguez,Gracie Barra Westchase Wrestling Club,5,G2,83
TX Nationals,Sophia Rodriguez,Gracie Barra Westchase Wrestling Club,30,G2,83
Heart of Texas,Sophia Rodriguez,Gracie Barra Westchase Wrestling Club,30,G2,83
TX Nationals,Olivia Fernandez,Alamo City Wrestling Club,0,G2,55
Heart of Texas,Olivia Fernandez,Alamo City Wrestling Club,5,G2,55
Heart of Texas,Olivia Hastie,Dripping Springs Youth Sports Association Wrestling Club,0,G2,75
Panhandle,Evany Moreno,Sisters on the Mat,0,G2,65
Lonestar Nationals,Riley Walsmith,Randall Youth Wrestling Club,30,G2,58
Lonestar Nationals,Madison Byrne,Katy Area Wrestling Club,10,G2,49
Panhandle,Madison Byrne,Katy Area Wrestling Club,10,G2,49
TX Nationals,Madison Byrne,Katy Area Wrestling Club,10,G2,49
Heart of Texas,Madison Byrne,Katy Area Wrestling Club,10,G2,49
Heart of Texas,Raelynn Gomez,Tyler Tornadoes Wrestling,0,G2,83
TX Nationals,Athena VanHuss,NTX Wrestling,30,G2,52
TX Nationals,Ireland Fritz,Katy Area Wrestling Club,0,G2,70
Edge of Texas,Sophia Garcia,Team Fox Wrestling Club,5,G2,55
Panhandle,Annamari Galvan,Lubbock-Cooper High School Wrestling,30,G2,42
Lonestar Nationals,Sally Heck,Spartan Mat Club,0,G2,61
Panhandle,Landree Gonzales,ReZults Wrestling,0,G2,65
Heart of Texas,Samantha Horn,Strike and Submit Wrestling Club,0,G2,55
Edge of Texas,Mia Plata,Takedown City Wrestling Club,5,G2,83
Panhandle,Mia Plata,Takedown City Wrestling Club,0,G2,83
TX Nationals,Mia Plata,Takedown City Wrestling Club,0,G2,83
Heart of Texas,Mia Plata,Takedown City Wrestling Club,0,G2,83
Edge of Texas,Claribelle Beltran,Horizon City Tigers,30,G2,61
Lonestar Nationals,Logan Bouchard,West Amarillo Wrestling Club,0,G2,83
Heart of Texas,Adelyn Padgett,Dripping Springs Youth Sports Association Wrestling Club,0,G2,65
Edge of Texas,Nilea Snow,El Paso Enforcers Wrestling Club,10,G2,75
Lonestar Nationals,Cameron Lain,Strike and Submit Wrestling Club,0,G2,70
Heart of Texas,Cameron Lain,Strike and Submit Wrestling Club,0,G2,70
Lonestar Nationals,Riley Lain,Strike and Submit Wrestling Club,5,G2,75
Heart of Texas,Riley Lain,Strike and Submit Wrestling Club,10,G2,70
Lonestar Nationals,Mileena Bills,Vici Wrestling Club,5,G2,61
TX Nationals,Mileena Bills,Vici Wrestling Club,0,G2,61
Panhandle,Kenzleigh Whipkey,West Amarillo Wrestling Club,0,G2,83
Panhandle,Clarke Almanza,Sisters on the Mat,5,G2,83
Lonestar Nationals,Charlie Wirtzberger,Global Wrestling Club,10,G2,61
Heart of Texas,Charlie Wirtzberger,Global Wrestling Club,10,G2,65
Edge of Texas,Luisa Ramirez,El Paso Texas Wrestling Club,5,G2,75
Heart of Texas,Kymbre Anderson,Takedown City Wrestling Club,10,G2,199
Heart of Texas,Kymbre Anderson (95),Takedown City Wrestling Club,30,G2,199
Heart of Texas,RayAnna McKinney,Patriot Wrestling Club,10,G2,55
Lonestar Nationals,Octavia Cuppy,Steve Page Grappling,0,G2,65
Lonestar Nationals,Emily Carlson,Apex Grappling Academy,10,G3,95
TX Nationals,Nina Shelger,Paradigm Wrestling,30,G3,199
Lonestar Nationals,Penelope Mouras,Amped Wrestling Club,10,G3,85
Lonestar Nationals,Callie Cigarroa,El Paso Wildcats Wrestling Club,30,G3,199
Heart of Texas,Callie Cigarroa,El Paso Wildcats Wrestling Club,10,G3,199
Edge of Texas,Callie Cigarroa,El Paso Wildcats Wrestling Club,30,G3,199
Edge of Texas,Sadie Stephenson,NXT Level Wrestling Academy,5,G3,80
TX Nationals,Sadie Stephenson,NXT Level Wrestling Academy,0,G3,80
Lonestar Nationals,Katherine Lupardus,All American Wrestling Club,10,G3,55
TX Nationals,Katherine Lupardus,All American Wrestling Club,10,G3,199
Panhandle,Serenity Esparza,All American Wrestling Club,5,G3,60
TX Nationals,Serenity Esparza,Best Trained Wrestling,10,G3,60
TX Nationals,Britney Turdo,Texas Elite Wrestling Club,0,G3,75
Edge of Texas,Camille Clark,El Paso Supers Wrestling Club,10,G3,118
TX Nationals,Camille Clark,El Paso Supers Wrestling Club,5,G3,118
Lonestar Nationals,Georgia Barron,Spartan Mat Club,30,G3,80
TX Nationals,Georgia Barron,Spartan Mat Club,30,G3,80
Panhandle,Julianna Escobar,Gracie Barra Westchase Wrestling Club,0,G3,80
TX Nationals,Julianna Escobar,Gracie Barra Westchase Wrestling Club,5,G3,80
Heart of Texas,Julianna Escobar,Gracie Barra Westchase Wrestling Club,10,G3,80
TX Nationals,Sharon Dickson,Brazoria County Wrestling,0,G3,65
Lonestar Nationals,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),30,G3,60
Edge of Texas,Zoie Smithe,El Paso Texas Wrestling Club,30,G3,60
Panhandle,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),30,G3,60
TX Nationals,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),30,G3,60
Heart of Texas,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),30,G3,60
Panhandle,Zemariuh Pina,Borger Wrestling Club,0,G3,65
Lonestar Nationals,Jaelynn Ortiz,El Paso Enforcers Wrestling Club,10,G3,90
Edge of Texas,Jaelynn Ortiz,El Paso Enforcers Wrestling Club,30,G3,90
Panhandle,Daisy Rosales,Silverback Wrestling Fort Worth,10,G3,85
TX Nationals,Daisy Rosales,Silverback Wrestling Fort Worth,30,G3,85
Heart of Texas,Sophia Herrera,Grizzly Wrestling Club,5,G3,70
Edge of Texas,Sophia Herrera,Grizzly Wrestling Club,30,G3,65
Panhandle,Sophia Herrera,Grizzly Wrestling Club,5,G3,65
TX Nationals,Sophia Herrera,Grizzly Wrestling Club,10,G3,65
Lonestar Nationals,Eva Hernandez,Takedown Elite Wrestling,5,G3,80
Edge of Texas,Eva Hernandez,Takedown Elite,10,G3,80
Lonestar Nationals,Rosalie Wood,Apex Grappling Academy,30,G3,75
Panhandle,Rosalie Wood,Silverback Wrestling Fort Worth,10,G3,75
TX Nationals,Rosalie Wood,Apex Grappling Academy,30,G3,75
Lonestar Nationals,Naomi Marie-Bailey Foster,Best Trained Wrestling,5,G3,102
TX Nationals,Naomi Marie-Bailey Foster,Best Trained Wrestling,0,G3,95
Lonestar Nationals,Nyla Kitchens,Best Trained Wrestling,30,G3,70
Panhandle,Nyla Kitchens,Best Trained Wrestling,30,G3,65
TX Nationals,Nyla Kitchens,Best Trained Wrestling,30,G3,65
Lonestar Nationals,Solana White,Spartan Mat Club,30,G3,110
TX Nationals,Solana White,Spartan Mat Club,30,G3,110
TX Nationals,Devon Knepp,Spring Klein Wrestling Club,0,G3,75
TX Nationals,Alexandra Ayarzagoitia,Gracie Barra Westchase Wrestling Club,0,G3,199
Lonestar Nationals,Ezri Ramirez,West Texas Grapplers Wrestling Club,0,G3,90
Edge of Texas,Ezri Ramirez,West Texas Grapplers Wrestling Club,5,G3,90
Panhandle,Ezri Ramirez,West Texas Grapplers Wrestling Club,0,G3,90
TX Nationals,Ezri Ramirez,West Texas Grapplers Wrestling Club,10,G3,90
Heart of Texas,Ezri Ramirez,West Texas Grapplers Wrestling Club,0,G3,90
Panhandle,Margarita Priego,Wesley Club Wrestling,30,G3,90
TX Nationals,Malana Chaniel-McKay,Powerhouse Wrestling,30,G3,90
Heart of Texas,Malana Chaniel-McKay,Powerhouse Wrestling,30,G3,90
Lonestar Nationals,Khloe Enriquez,NXT Level Wrestling Academy,10,G3,70
Edge of Texas,Khloe Enriquez,NXT Level Wrestling Academy,30,G3,70
Panhandle,Khloe Enriquez,NXT Level Wrestling Academy,5,G3,70
TX Nationals,Khloe Enriquez,NXT Level Wrestling Academy,0,G3,70
Heart of Texas,Khloe Enriquez,NXT Level Wrestling Academy,30,G3,70
Lonestar Nationals,Natalie Scott,Stay Sharp Wrestling Club,0,G3,80
Edge of Texas,Natalie Scott,STAY SHARP WRESTLING CLUB,0,G3,80
Panhandle,Natalie Scott,Stay Sharp Wrestling Club,0,G3,80
Heart of Texas,Natalie Scott,Stay Sharp Wrestling Club,0,G3,80
Edge of Texas,Imani Borja,Team Xtreme Wrestling,30,G3,199
Panhandle,Hazel Gann,Team Gann Wrestling,5,G3,90
Lonestar Nationals,Rylan Van Winkle,Amped Wrestling Club,30,G3,102
TX Nationals,Karizma Benton,Rise Wrestling,30,G3,118
Lonestar Nationals,Aria Nunez,Takedown Elite Wrestling,10,G3,75
Edge of Texas,Aria Nunez,Takedown Elite,5,G3,75
TX Nationals,Aria Nunez,Takedown Elite Wrestling,10,G3,75
Lonestar Nationals,Kinslee McGuire,All American Wrestling Club,5,G3,70
TX Nationals,Kinslee McGuire,All American Wrestling Club,0,G3,70
TX Nationals,Kaia Kimberlin,Spring Klein Wrestling Club,5,G3,85
Heart of Texas,Kaia Kimberlin,Spring Klein Wrestling Club,10,G3,85
Lonestar Nationals,Kenlee Felton,Takedown Elite Wrestling,5,G3,90
Edge of Texas,Kenlee Felton,Takedown Elite,10,G3,90
Heart of Texas,Emma Henry,Stingers Wrestling Club,5,G3,80
Lonestar Nationals,Lexi Howell,Texas Select Wrestling,10,G3,60
TX Nationals,Lexi Howell,Texas Select Wrestling,0,G3,65
Lonestar Nationals,Zabella Garcia,All American Wrestling Club,5,G3,95
Panhandle,Jeselle Armendariz,X-CLUSIVE Wrestling,5,G3,110
Edge of Texas,Devyn Villarreal,Takedown City Wrestling Club,10,G3,95
Panhandle,Devyn Villarreal,Takedown City Wrestling Club,5,G3,95
TX Nationals,Devyn Villarreal,Takedown City Wrestling Club,30,G3,95
Heart of Texas,Devyn Villarreal,Takedown City Wrestling Club,10,G3,95
Heart of Texas,Ariel Balcazar-Martinez,ReZults Wrestling,5,G3,75
Edge of Texas,Ariel Balcazar-Martinez,ReZults Wrestling,10,G3,70
Panhandle,Ariel Balcazar-Martinez,ReZults Wrestling,0,G3,70
Edge of Texas,Aubree Murillo,Sentinels Wrestling Academy,10,G3,199
Heart of Texas,Yadira Guajardo,ONE Wrestling Academy,30,G3,199
Panhandle,Hartley Burkhart,Dumas Wrestling,30,G3,118
Lonestar Nationals,Sofia Love,El Paso Wildcats Wrestling Club,30,G3,95
Edge of Texas,Sofia Love,El Paso Wildcats Wrestling Club,30,G3,95
Heart of Texas,Sofia Love,El Paso Wildcats Wrestling Club,30,G3,95
Heart of Texas,Hannah Diers,Dripping Springs Youth Sports Association Wrestling Club,5,G3,90
Panhandle,Briana Stopyra,El Paso Texas Wrestling Club (EPTWC),10,G3,55
TX Nationals,Briana Stopyra,El Paso Texas Wrestling Club (EPTWC),10,G3,55
Heart of Texas,Victoria Quiroz,The Woodlands Highlander Wrestling Club,30,G3,75
TX Nationals,Victoria Quiroz,Wolf Pack Wrestling TX,30,G3,70
TX Nationals,Marley McGrain,Texas Select Wrestling,5,G3,65
TX Nationals,Fiona VanHuss,NTX Wrestling,0,G3,65
Lonestar Nationals,Addie Knadler,NB Elite Wrestling Club,0,G3,70
TX Nationals,Addie Knadler,NB Elite Wrestling Club,0,G3,70
Heart of Texas,Addie Knadler,NB Elite Wrestling Club,10,G3,70
TX Nationals,Leylah Robledo,Vici Wrestling Club,10,G3,95
Heart of Texas,Leylah Robledo,Vici Wrestling Club,5,G3,95
Lonestar Nationals,Maile Mauga,All American Wrestling Club,30,G3,199
Panhandle,Maile Mauga,All American Wrestling Club,,G3,199
TX Nationals,Maile Mauga,All American Wrestling Club,5,G3,199
Heart of Texas,Leilah Gita,Heart and Pride Wrestling Club,30,G3,85
Lonestar Nationals,Dylann Alexander,Texas Select Wrestling,10,G3,199
TX Nationals,Ellie Schmidt,Spring Klein Wrestling Club,0,G3,80
Lonestar Nationals,Ryanne Rosario,WAR Training Center,30,G3,118
Heart of Texas,Ryanne Rosario,WAR Training Center,0,G3,118
TX Nationals,Ryanne Rosario,WAR Training Center,5,G3,110
TX Nationals,Olivia Bowsher,FM Wrestling Club,0,G3,102
TX Nationals,Mia Ventura,Richmond Wrestling Academy,30,G3,102
Heart of Texas,Ashlynn Urbina,Dead Shot Wrestling Club,10,G3,75
Edge of Texas,Sol Del Pozo,El Paso Wildcats Wrestling Club,0,G3,75
Lonestar Nationals,Madilyn Anderson,Texas Elite Wrestling Club,30,G3,65
TX Nationals,Madilyn Anderson,Texas Elite Wrestling Club,5,G3,60
Lonestar Nationals,Brooklyn Horn,Texas Wrestling Academy,0,G3,95
Panhandle,Brooklyn Horn,Texas Wrestling Academy,0,G3,95
Edge of Texas,Jade Reveles,El Paso Wildcats Wrestling Club,30,G3,118
TX Nationals,Jade Reveles,El Paso Wildcats Wrestling Club,10,G3,118
Heart of Texas,Jade Reveles,El Paso Wildcats Wrestling Club,10,G3,118
Heart of Texas,Haripriya Chamoli,Alamo City Wrestling Club,0,G3,80
TX Nationals,Alyah Rodriguez,Vici Wrestling Club,5,G3,75
Lonestar Nationals,Gia Nguyen,All American Wrestling Club,0,G3,70
TX Nationals,Skylar Wallace,NB Elite Wrestling Club,10,G3,110
Heart of Texas,Skylar Wallace,NB Elite Wrestling Club,30,G3,110
TX Nationals,Gabriela Minardi,3F Wrestling,5,G3,102
Lonestar Nationals,McKenzy Ramirez,Vici Wrestling Club,30,G3,85
TX Nationals,McKenzy Ramirez,Vici Wrestling Club,0,G3,85
Heart of Texas,McKenzy Ramirez,Vici Wrestling Club,5,G3,85
TX Nationals,Aliya Smith,G580 Wrestling Club,5,G3,95
Lonestar Nationals,Bailey Baumgardner,El Paso Texas Wrestling Club (EPTWC),0,G3,90
Edge of Texas,Bailey Baumgardner,El Paso Texas Wrestling Club,0,G3,90
Panhandle,Bailey Baumgardner,El Paso Texas Wrestling Club (EPTWC),10,G3,90
Panhandle,Galilea Lopez,ReZults Wrestling,0,G3,60
TX Nationals,Galilea Lopez,ReZults Wrestling,30,G3,55
Panhandle,Sahaily Rodriguez,ReZults Wrestling,30,G3,102
TX Nationals,Sahaily Rodriguez,ReZults Wrestling,10,G3,102
TX Nationals,Kennadi Chambers,Katy Area Wrestling Club,10,G3,80
Heart of Texas,Kennadi Chambers,Katy Area Wrestling Club,30,G3,80
Lonestar Nationals,Kensey Tamburro,Rio Vista Wrestling,10,G3,199
Heart of Texas,Addysen Hunton,West Amarillo Wrestling Club,0,G3,95
Edge of Texas,Jenicka Munoz,Bordertown Brawlers Wrestling Club,0,G3,90
Lonestar Nationals,Gabriella Mendoza,All American Wrestling Club,10,G3,102
Edge of Texas,Andrea Cabrera,Horizon City Tigers,30,G3,102
Heart of Texas,Myer Hall,Empire Elite Wrestling,10,G3,60
Edge of Texas,Isabella Mercado,El Paso Wildcats Wrestling Club,10,G3,65
Lonestar Nationals,Reagan Jones,Vici Wrestling Club,30,G3,55
TX Nationals,Reagan Jones,Vici Wrestling Club,0,G3,199
Heart of Texas,Janay McKinney,Patriot Wrestling Club,10,G3,90
TX Nationals,Bailey Boyd,Hornet Wrestling Club,0,G3,118
